Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0012.HK,0016.HK,0017.HK,0019.HK,0020.HK,0023.HK,0027.HK,0066.HK,0101.HK,0151.HK,0175.HK,0241.HK,0267.HK,0268.HK,0285.HK,0288.HK,0291.HK,0316.HK,0322.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0968.HK,0992.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1209.HK,1211.HK,1299.HK,1378.HK,1398.HK,1448.HK,1515.HK,1810.HK,1876.HK,1929.HK,1997.HK,2007.HK,2018.HK,2020.HK,2269.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,3328.HK,3690.HK,3988.HK,6098.HK,6862.HK,9618.HK,9626.HK,9633.HK,9988.HK,9999.HK
2021-03-29,47.887996673583984,59.75567626953125,9.307220458984375,34.023048400878906,34.09615707397461,24.30144500732422,91.22876739501953,28.196929931640625,38.0090446472168,,12.145730972290039,66.63872528076172,36.42628860473633,14.37190055847168,4.643398284912109,18.218902587890625,21.5,4.904819965362549,23.850000381469727,41.78466033935547,4.988136291503906,54.925418853759766,31.941102981567383,9.500131607055664,2.7079317569732666,407.20855712890625,117.080810546875,16.83708381652832,546.258056640625,3.148329019546509,50.73012161254883,1.9155853986740112,19.306798934936523,44.85539245605469,5.097227096557617,4.467247486114502,35.762664794921875,40.32064437866211,11.10667610168457,8.092056274414062,35.78837966918945,39.71961975097656,9.289319038391113,7.746664047241211,31.56296730041504,37.318790435791016,7.14579963684082,42.67953872680664,55.2216796875,86.2042465209961,6.891074180603027,3.8076140880584717,5.517855644226074,5.543891906738281,25.049999237060547,20.66352653503418,8.914921760559082,35.79852294921875,9.041787147521973,37.63517761230469,112.22434997558594,96.25,126.52627563476562,71.05686950683594,39.987701416015625,46.16493606567383,166.2703094482422,21.24142074584961,12.652904510498047,3.3051841259002686,280.3999938964844,1.9562628269195557,67.61824035644531,44.93195724487305,309.79681396484375,800.0,35.955570220947266,214.78408813476562,154.0242919921875
2021-03-30,48.0036735534668,60.032501220703125,9.367756843566895,34.287078857421875,34.245540618896484,25.733051300048828,95.7823715209961,29.656017303466797,39.88730239868164,,12.352590560913086,67.4337158203125,36.75593185424805,14.756216049194336,4.722637176513672,18.31045150756836,22.450000762939453,5.110666751861572,24.100000381469727,40.081092834472656,5.115673065185547,55.37636947631836,32.64380645751953,9.72760009765625,2.7014992237091064,404.4171142578125,118.44009399414062,16.103357315063477,544.0265502929688,3.148329019546509,52.24123764038086,1.9357495307922363,19.96454429626465,46.479679107666016,5.0664472579956055,4.413747787475586,35.93796157836914,41.8067626953125,11.755881309509277,9.091473579406738,35.9805793762207,39.68168640136719,9.254484176635742,7.985813140869141,30.325210571289062,37.47526168823242,7.154959678649902,41.17674255371094,54.995758056640625,86.15940856933594,7.112945079803467,3.787179470062256,5.870059967041016,5.624238967895508,25.600000381469727,20.707679748535156,8.930134773254395,37.23209762573242,9.17016887664795,38.46285629272461,113.40377044677734,98.25,138.5680694580078,70.94313049316406,40.302215576171875,44.79936981201172,172.15342712402344,21.391807556152344,12.668563842773438,3.311901569366455,293.6000061035156,1.9363688230514526,66.3582763671875,46.06068420410156,315.33245849609375,800.0,36.65058517456055,220.1487274169922,156.6884002685547
2021-03-31,47.772335052490234,59.71612548828125,9.307220458984375,34.32479476928711,34.28287887573242,24.98145866394043,92.48493194580078,29.32772445678711,39.81899642944336,,12.234386444091797,65.46963500976562,36.30266571044922,14.647448539733887,4.619626522064209,18.109037399291992,22.0,5.224236965179443,24.100000381469727,42.96769332885742,4.4638142585754395,54.97051239013672,36.57255554199219,9.553655624389648,2.6629066467285156,399.00860595703125,120.52436065673828,15.601337432861328,544.472900390625,3.1340508460998535,50.94599914550781,1.888700008392334,19.655014038085938,45.64671325683594,5.004887104034424,4.373622894287109,35.727596282958984,40.28153610229492,11.211954116821289,8.914158821105957,35.51929473876953,38.771209716796875,9.30093002319336,8.02851676940918,29.12612533569336,36.92760467529297,7.127477169036865,39.75980758666992,53.22066116333008,84.58959197998047,6.773612022399902,3.800802230834961,5.848047256469727,5.463545799255371,25.75,20.486913681030273,9.036626815795898,35.675636291503906,9.15182876586914,38.12204360961914,115.0367660522461,97.3499984741211,140.57504272460938,70.18478393554688,39.987701416015625,44.491024017333984,170.899658203125,20.414323806762695,12.574605941772461,3.3253371715545654,298.20001220703125,1.9628944396972656,66.19027709960938,46.14751052856445,318.2979736328125,828.0,35.90923309326172,218.5592041015625,156.0963897705078
2021-04-01,48.157901763916016,59.00428009033203,9.171019554138184,34.21163558959961,33.685359954833984,24.945661544799805,92.48493194580078,29.510108947753906,39.37504577636719,,12.042299270629883,66.68549346923828,36.26145935058594,14.79246997833252,4.63547420501709,18.813989639282227,23.149999618530273,5.231334209442139,25.049999237060547,48.17302703857422,4.747231483459473,55.73713302612305,42.19419479370117,9.593795776367188,2.6822032928466797,408.7787780761719,121.8836441040039,15.601337432861328,583.746337890625,3.148329019546509,50.6221923828125,1.8819785118103027,19.732397079467773,46.646278381347656,4.9925737380981445,4.360247611999512,35.7977180480957,39.46026611328125,12.580547332763672,8.704604148864746,35.51929473876953,38.61946487426758,9.30093002319336,8.019977569580078,28.778003692626953,36.849369049072266,7.10915470123291,38.858131408691406,57.2872428894043,85.12782287597656,7.047689914703369,3.787179470062256,5.928760528564453,5.78493070602417,26.450000762939453,20.707679748535156,9.432169914245605,35.59371566772461,9.206850051879883,38.46285629272461,118.4842529296875,105.0999984741211,142.4947509765625,71.05686950683594,40.39207458496094,45.50418472290039,176.30056762695312,20.263944625854492,12.637243270874023,3.3253371715545654,325.79998779296875,1.9562628269195557,65.7282943725586,47.406471252441406,332.3347473144531,870.0,37.20660400390625,224.12254333496094,163.4966278076172
2021-04-07,48.080787658691406,59.2415657043457,9.216419219970703,34.62656021118164,34.170841217041016,24.62355613708496,92.01387786865234,29.76544952392578,40.209110260009766,,12.13095474243164,67.66754150390625,36.17905044555664,14.683701515197754,4.69094181060791,18.676660537719727,22.350000381469727,5.2668256759643555,25.200000762939453,48.598915100097656,4.88185453414917,54.51957321166992,47.27281951904297,9.31280517578125,2.6500422954559326,399.00860595703125,121.3399429321289,15.354186058044434,561.8781127929688,3.155468225479126,50.65817642211914,1.8685358762741089,20.19668960571289,46.646278381347656,5.011043071746826,4.340185642242432,35.55228805541992,39.4993782043457,12.019072532653809,8.349971771240234,35.480857849121094,38.2021598815918,9.254484176635742,8.173711776733398,28.70064353942871,37.20143508911133,7.283218860626221,40.79029846191406,57.384071350097656,83.7374267578125,7.204305171966553,3.73268723487854,6.024150371551514,5.624238967895508,26.299999237060547,21.237512588500977,9.782072067260742,35.388919830322266,9.17016887664795,38.36548614501953,118.75640106201172,106.5999984741211,139.26614379882812,70.7535400390625,39.493473052978516,47.79481506347656,173.50364685058594,20.151153564453125,12.543288230895996,3.3253371715545654,318.0,1.9695254564285278,66.61027526855469,44.75830841064453,320.6703796386719,874.0,36.78958511352539,220.5460968017578,158.6617431640625
2021-04-08,48.96760940551758,59.16245651245117,9.246685981750488,35.343223571777344,34.170841217041016,24.730926513671875,92.72047424316406,29.619539260864258,41.8077507019043,,12.249161720275879,67.94812774658203,36.30266571044922,14.864984512329102,4.6275506019592285,18.99709701538086,22.850000381469727,5.330709934234619,25.850000381469727,46.18553161621094,4.966879367828369,56.5488395690918,45.0050048828125,9.446609497070312,2.6629066467285156,404.9405212402344,128.13644409179688,15.369635581970215,553.398681640625,3.1411898136138916,50.80208206176758,1.8618146181106567,19.96454429626465,46.10484313964844,4.814049243927002,4.373622894287109,35.51722717285156,40.007789611816406,11.755881309509277,8.26937484741211,35.71150207519531,38.391845703125,9.231261253356934,8.24204158782959,28.507246017456055,37.20143508911133,7.512248992919922,39.93156051635742,57.4486198425293,88.89533233642578,7.543638229370117,3.739499568939209,5.965447902679443,5.668874740600586,26.200000762939453,21.988109588623047,9.873351097106934,35.675636291503906,9.17016887664795,39.339229583740234,122.65752410888672,107.19999694824219,149.12646484375,70.71561431884766,41.24574661254883,48.80796813964844,176.68630981445312,20.075963973999023,12.511968612670898,3.3051841259002686,320.79998779296875,1.982788324356079,66.44226837158203,45.062198638916016,317.1117858886719,855.0,35.86289978027344,221.53956604003906,160.6352081298828
2021-04-09,48.77481460571289,59.122920989990234,9.29208755493164,35.11690902709961,34.170841217041016,24.802507400512695,92.95599365234375,29.984310150146484,43.16311264038086,,12.17528247833252,65.32933044433594,36.26145935058594,15.082517623901367,4.66717004776001,18.951318740844727,22.350000381469727,5.316512584686279,24.899999618530273,43.20429611206055,4.903110504150391,55.10580062866211,43.503780364990234,9.259284019470215,2.611449718475342,403.7192077636719,125.96153259277344,15.354186058044434,553.8449096679688,3.1197729110717773,50.73012161254883,1.834929347038269,19.771087646484375,45.64671325683594,4.869452476501465,4.360247611999512,35.23674011230469,39.10829544067383,11.861159324645996,8.043697357177734,35.78837966918945,38.61946487426758,9.289319038391113,8.105385780334473,28.313844680786133,37.357906341552734,7.420637607574463,38.29994201660156,56.51265335083008,87.72918701171875,7.373971462249756,3.7463111877441406,5.943436145782471,5.588528633117676,25.700000762939453,21.72319221496582,9.949416160583496,35.55276107788086,9.014276504516602,38.80366516113281,118.84713745117188,102.0,145.8106231689453,69.16101837158203,40.25728225708008,47.5305061340332,171.7676544189453,20.451921463012695,12.402351379394531,3.33205509185791,314.0,1.982788324356079,61.654396057128906,42.8481559753418,312.366943359375,850.0,35.44588851928711,216.57229614257812,160.6352081298828
2021-04-12,47.92655944824219,59.122920989990234,9.23155403137207,34.551116943359375,34.20819091796875,24.766712188720703,92.64196014404297,29.728973388671875,42.67656707763672,,12.263937950134277,64.81493377685547,36.17905044555664,15.155033111572266,4.6275506019592285,17.614656448364258,22.0,5.309415340423584,23.700000762939453,41.87929916381836,4.810999870300293,54.20390319824219,40.14995574951172,9.245903968811035,2.617882013320923,398.31072998046875,123.69606018066406,15.19971752166748,547.596923828125,3.1197729110717773,50.69414520263672,1.8282077312469482,19.422870635986328,44.18901062011719,4.912546157836914,4.320123195648193,35.16661834716797,39.10829544067383,11.404960632324219,8.019518852233887,35.71150207519531,38.467716217041016,9.30093002319336,7.943106651306152,28.23648452758789,37.0058479309082,7.292379856109619,37.61294937133789,54.995758056640625,86.29393768310547,7.099895000457764,3.739499568939209,5.899410247802734,5.463545799255371,24.950000762939453,21.237512588500977,9.782072067260742,35.22507858276367,8.91340446472168,43.7210693359375,121.75025177001953,102.69999694824219,141.5348663330078,68.93351745605469,39.67319869995117,49.688987731933594,168.8743133544922,20.263944625854492,12.371031761169434,3.3253371715545654,298.20001220703125,1.98941969871521,61.86438751220703,41.67601776123047,305.6451416015625,812.0,34.93621063232422,230.67930603027344,158.95779418945312
2021-04-13,48.350685119628906,59.67656707763672,9.261818885803223,34.70199203491211,34.69368362426758,25.017244338989258,93.81961059570312,30.27613067626953,42.885093688964844,,12.61855697631836,63.739349365234375,36.096641540527344,15.191288948059082,4.532464027404785,17.614656448364258,21.950000762939453,5.486868858337402,23.149999618530273,41.0748405456543,4.704718589782715,56.36845397949219,40.054141998291016,9.259284019470215,2.6822032928466797,396.04266357421875,123.42417907714844,15.21516227722168,542.687744140625,3.105494260787964,51.737525939941406,1.8416504859924316,19.306798934936523,43.605934143066406,4.869452476501465,4.393685340881348,35.061424255371094,39.46026611328125,11.089130401611328,8.108177185058594,36.364994049072266,38.61946487426758,9.30093002319336,7.883319854736328,28.043079376220703,37.0058479309082,7.292379856109619,37.784698486328125,54.3179931640625,89.07472229003906,7.243459224700928,3.739499568939209,6.038823127746582,5.517110347747803,24.899999618530273,21.10505485534668,9.964632034301758,37.39593505859375,8.849212646484375,43.088138580322266,123.29257202148438,102.0999984741211,147.3812713623047,68.89558410644531,40.302215576171875,50.52593994140625,165.88453674316406,20.263944625854492,12.339712142944336,3.3522086143493652,276.0,2.0159454345703125,61.10841369628906,42.153560638427734,294.96929931640625,809.0,35.35321807861328,231.67276000976562,157.67507934570312
2021-04-14,48.851932525634766,59.992950439453125,9.307220458984375,34.815155029296875,35.0297966003418,25.19619369506836,96.25342559814453,30.969200134277344,42.74607849121094,,12.500350952148438,65.46963500976562,36.343875885009766,15.408825874328613,4.580007076263428,18.49355697631836,22.649999618530273,5.600439548492432,24.5,41.264122009277344,4.733060836791992,57.225257873535156,34.43251037597656,9.299426078796387,2.7400927543640137,402.4979553222656,126.5052719116211,15.354186058044434,556.5226440429688,3.1269118785858154,53.17668151855469,1.8685358762741089,19.732397079467773,44.56385040283203,4.955638408660889,4.4003729820251465,35.061424255371094,39.929561614990234,11.317229270935059,8.204894065856934,36.51875305175781,38.809139251708984,9.533164024353027,8.250582695007324,28.507246017456055,36.849369049072266,7.383992671966553,39.330440521240234,57.545448303222656,88.7159194946289,7.569741249084473,3.753122568130493,6.00947380065918,5.552818775177002,25.399999618530273,21.325817108154297,9.873351097106934,37.764564514160156,8.986764907836914,45.47380447387695,127.46581268310547,107.0,147.9048309326172,69.42642974853516,40.57179260253906,50.922393798828125,170.99609375,20.677492141723633,12.35537338256836,3.35892653465271,286.0,2.042470932006836,62.956363677978516,42.11014938354492,302.48193359375,816.5,35.77022933959961,236.2426300048828,166.65406799316406
