Date,AAF.L,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BEZ.L,BKG.L,BP.L,BREE.L,BT-A.L,CCH.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,FCIT.L,FERG.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,HSX.L,IAG.L,ICG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSH.L,PSN.L,PSON.L,RCP.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WPP.L,WTB.L
2021-04-06,82.09864807128906,2886.3095703125,2459.482421875,3111.876708984375,4475.82177734375,1753.25244140625,408.23779296875,7175.47607421875,520.83935546875,185.25425720214844,2750.031494140625,347.40020751953125,4689.294921875,299.108642578125,472.3761291503906,152.300048828125,2344.380859375,55.663482666015625,1543.2030029296875,6404.8662109375,6306.78271484375,3075.582763671875,2621.961669921875,2533.0947265625,1577.8538818359375,2531.2236328125,817.3530883789062,8995.3388671875,15745.0,898.7174072265625,290.9108581542969,1296.3621826171875,2383.17138671875,2466.012939453125,,425.53668212890625,873.18115234375,214.60072326660156,1899.4609375,65.59343719482422,1202.320068359375,1492.8450927734375,570.2011108398438,5822.5263671875,122.916748046875,170.5068359375,327.6648864746094,699.2227783203125,288.1042175292969,42.73240661621094,217.27041625976562,7365.42529296875,152.61419677734375,2084.87353515625,213.37689208984375,405.8741455078125,872.3050537109375,210.78857421875,7907.2060546875,2077.0,724.1112060546875,1501.627197265625,2648.1611328125,3082.9501953125,786.6525268554688,2427.627197265625,1859.6373291015625,5604.96533203125,6754.423828125,601.1663208007812,111.7461166381836,241.32997131347656,605.8049926757812,627.354248046875,952.9984130859375,3492.74169921875,1584.414306640625,1199.7332763671875,1372.138427734375,11730.330078125,1517.67431640625,495.300048828125,1303.5908203125,2332.16552734375,227.9447784423828,182.22097778320312,4364.44970703125,1084.2493896484375,937.3218383789062,134.14276123046875,940.063232421875,3496.03857421875
2021-04-07,82.74744415283203,2910.171630859375,2478.454833984375,3120.84765625,4451.83837890625,1749.2587890625,412.8534851074219,7091.5634765625,525.4326171875,187.03114318847656,2764.476806640625,347.8995666503906,4744.17041015625,304.69482421875,471.8767395019531,156.0414581298828,2366.34716796875,56.34279251098633,1561.18798828125,6378.89453125,6358.69091796875,3086.56884765625,2647.941650390625,2533.0947265625,1578.8531494140625,2534.221435546875,821.3499145507812,9119.2197265625,15535.0,908.703125,292.35723876953125,1307.21728515625,2376.18310546875,2474.010498046875,,432.6148376464844,887.7640380859375,217.749267578125,1932.390869140625,66.02682495117188,1209.310302734375,1510.783447265625,586.1898193359375,5838.505859375,122.86688995361328,172.70614624023438,332.553955078125,715.7760009765625,294.57958984375,43.25121307373047,219.6645965576172,7273.48193359375,157.1131591796875,2113.388671875,218.5544891357422,408.31781005859375,885.8724365234375,212.6668701171875,8050.97314453125,2114.0,739.2509155273438,1518.58642578125,2718.1123046875,3163.713134765625,792.6452026367188,2437.61767578125,1878.118896484375,5720.51123046875,6754.423828125,602.3656005859375,111.86609649658203,243.4241485595703,611.4017944335938,628.5529174804688,958.189697265625,3578.538330078125,1590.9058837890625,1188.735595703125,1379.6282958984375,11655.392578125,1509.1927490234375,499.0939025878906,1316.06787109375,2355.1181640625,230.8888702392578,185.55946350097656,4412.48583984375,1088.242919921875,939.3175048828125,136.15560913085938,944.852294921875,3500.0341796875
2021-04-08,84.54413604736328,3003.671142578125,2486.44384765625,3179.65625,4513.79443359375,1737.2777099609375,400.22015380859375,7235.41357421875,526.0317993164062,187.65003967285156,2847.660400390625,341.9065246582031,4734.8515625,297.712158203125,469.38006591796875,154.8441925048828,2403.289794921875,56.54258728027344,1579.1729736328125,6514.744140625,6306.78271484375,3182.94580078125,2689.90869140625,2773.533935546875,1594.841552734375,2645.1435546875,829.3435668945312,9259.0849609375,15480.0,909.9014892578125,293.55413818359375,1328.323974609375,2413.12353515625,2531.98681640625,,438.6462097167969,857.7990112304688,214.4508056640625,1982.2847900390625,65.79737854003906,1251.251708984375,1555.1302490234375,589.5875244140625,6018.27490234375,122.86688995361328,174.42562866210938,337.4430847167969,719.7649536132812,292.387939453125,43.316070556640625,221.46023559570312,7385.4130859375,156.21336364746094,2082.5166015625,217.65835571289062,402.1506042480469,901.335205078125,212.45220947265625,8192.744140625,2137.0,744.6292724609375,1501.627197265625,2758.084716796875,3155.73681640625,796.44091796875,2442.613037109375,1902.5943603515625,5732.46484375,6754.423828125,612.9578857421875,111.106201171875,244.02249145507812,621.57763671875,654.326416015625,979.7534790039062,3491.5966796875,1594.01904296875,1201.7325439453125,1394.6080322265625,11940.15625,1538.6285400390625,503.78631591796875,1323.0545654296875,2386.05419921875,235.37989807128906,185.9082794189453,4447.17919921875,1093.734130859375,955.08251953125,135.9762420654297,948.0451049804688,3464.07470703125
2021-04-09,82.64763641357422,3002.697509765625,2480.45263671875,3139.78515625,4569.75439453125,1727.2930908203125,397.4693908691406,7279.36669921875,514.2490234375,185.3740234375,2775.435302734375,344.30377197265625,4798.0107421875,294.2706604003906,468.38134765625,153.14808654785156,2409.28076171875,57.36175537109375,1557.1915283203125,6604.6435546875,6282.826171875,3178.950927734375,2737.87109375,2771.53857421875,1565.363037109375,2651.139404296875,832.3411865234375,9301.0439453125,15295.0,893.1255493164062,287.9683532714844,1326.313720703125,2429.09765625,2557.9765625,,436.0542297363281,853.404052734375,210.05282592773438,1963.8240966796875,65.79737854003906,1239.2685546875,1536.6937255859375,583.7916259765625,6046.23974609375,122.41810607910156,183.34286499023438,343.1302490234375,714.5794677734375,295.2769470214844,43.156429290771484,218.46749877929688,7473.35693359375,156.86322021484375,2092.38916015625,217.06094360351562,404.0123596191406,898.3424682617188,211.05697631835938,8282.5986328125,2150.0,745.6253051757812,1509.3797607421875,2773.07373046875,3200.604736328125,804.8306884765625,2427.627197265625,1908.5882568359375,5640.82421875,6754.423828125,617.9542846679688,111.86609649658203,244.91998291015625,614.96337890625,651.529296875,970.96826171875,3440.70458984375,1611.4971923828125,1192.2347412109375,1398.1033935546875,12229.9169921875,1538.1295166015625,496.6977233886719,1340.5224609375,2401.022705078125,233.9327850341797,189.39620971679688,4409.81787109375,1081.75341796875,955.6810913085938,134.16270446777344,941.4600219726562,3462.076904296875
2021-04-12,83.94525146484375,2950.10400390625,2459.482421875,3193.610595703125,4538.7763671875,1697.34033203125,400.90771484375,7217.43115234375,504.2635498046875,187.74986267089844,2777.925537109375,344.203857421875,4755.5595703125,297.6622619628906,465.3853454589844,151.701416015625,2437.237548828125,57.98112487792969,1571.6790771484375,6562.689453125,6260.86474609375,3157.977783203125,2739.86962890625,2739.613037109375,1571.8580322265625,2646.14306640625,840.3349609375,9211.1298828125,15085.0,885.5362548828125,285.4746398925781,1304.2021484375,2427.1005859375,2533.98583984375,,431.2190856933594,865.1903686523438,206.2545928955078,1978.2935791015625,65.31301879882812,1236.2728271484375,1548.1541748046875,575.5973510742188,5976.3291015625,121.4706802368164,182.66307067871094,333.9508972167969,707.9981689453125,295.0777282714844,44.28884506225586,215.4748077392578,7495.34375,154.813720703125,2078.12890625,216.26438903808594,399.3578796386719,897.2451171875,213.364501953125,8086.9150390625,2100.0,733.8722534179688,1504.5341796875,2773.07373046875,3127.81884765625,795.8414916992188,2427.627197265625,1909.087890625,5622.89501953125,6895.791015625,600.1670532226562,108.20655822753906,244.42137145996094,617.8465576171875,646.3346557617188,964.3792724609375,3436.713134765625,1590.5233154296875,1180.7374267578125,1398.6024169921875,12010.0986328125,1529.6480712890625,496.0987243652344,1331.5391845703125,2426.968994140625,231.5375518798828,184.214111328125,4414.62158203125,1088.7420654296875,967.4549560546875,134.34205627441406,937.4690551757812,3442.099853515625
2021-04-13,84.64395904541016,2971.53076171875,2454.4892578125,3193.610595703125,4556.763671875,1722.80029296875,401.0059814453125,7159.4921875,501.8670654296875,186.49209594726562,2780.416259765625,336.61260986328125,4749.3466796875,297.5126037597656,464.3866882324219,150.4542694091797,2462.19921875,56.94218444824219,1557.1915283203125,6622.62353515625,6252.87939453125,3151.48583984375,2769.8466796875,2764.554931640625,1603.8348388671875,2644.14404296875,839.3356323242188,9201.1416015625,15235.0,906.306640625,286.1728515625,1294.3519287109375,2427.1005859375,2539.983154296875,,425.5865173339844,854.2032470703125,203.30593872070312,1982.78369140625,65.10906982421875,1238.76904296875,1548.6524658203125,577.5958862304688,5980.32373046875,122.56770324707031,188.1013641357422,339.837646484375,714.7788696289062,292.6867980957031,43.65031051635742,216.07334899902344,7617.26806640625,157.1631622314453,2070.450439453125,216.06524658203125,405.2923583984375,891.1596069335938,212.72048950195312,8084.91796875,2151.0,736.8602905273438,1511.8028564453125,2763.08154296875,3166.704833984375,791.6466064453125,2427.627197265625,1906.59033203125,5678.67578125,6877.08056640625,616.3554077148438,107.68661499023438,242.12774658203125,611.0625610351562,651.9288940429688,978.3557739257812,3431.72412109375,1606.5035400390625,1202.732421875,1404.095458984375,12055.0625,1507.6961669921875,490.7074279785156,1350.504150390625,2388.0498046875,231.63739013671875,187.30340576171875,4417.2890625,1108.21044921875,944.70556640625,133.6046905517578,949.042724609375,3449.091796875
2021-04-14,74.4128189086914,3061.621826171875,2438.512939453125,3186.633544921875,4564.7578125,1799.6796875,399.7288513183594,7263.38330078125,514.2490234375,187.25074768066406,2773.940185546875,340.6080322265625,4679.97509765625,307.587646484375,461.8899230957031,149.8556671142578,2454.211669921875,56.42271041870117,1601.654052734375,6584.666015625,6342.71923828125,3152.484619140625,2799.8232421875,2764.554931640625,1605.8333740234375,2636.149658203125,840.3349609375,9095.2421875,15310.0,899.716064453125,301.7333679199219,1296.1612548828125,2396.150634765625,2526.98876953125,,427.580322265625,862.992919921875,208.65345764160156,2013.7178955078125,66.91907501220703,1242.7635498046875,1550.1474609375,586.1898193359375,6000.298828125,123.2159423828125,186.10198974609375,339.13922119140625,714.978271484375,289.59857177734375,43.730125427246094,219.2655487060547,7749.18603515625,157.1131591796875,2053.99609375,219.05230712890625,408.0850830078125,885.9722290039062,211.8081817626953,8052.9697265625,2121.0,737.0595703125,1511.3179931640625,2773.07373046875,3151.748046875,799.836669921875,2432.62255859375,1919.5772705078125,5826.0966796875,6805.35791015625,606.9622192382812,107.72661590576172,240.13328552246094,607.6705932617188,641.14013671875,972.1661987304688,3401.787353515625,1602.5084228515625,1218.7288818359375,1414.0816650390625,11955.14453125,1494.2257080078125,490.8072509765625,1355.9940185546875,2388.0498046875,226.94676208496094,187.4529266357422,4397.00732421875,1124.6839599609375,941.9116821289062,133.64451599121094,960.6165161132812,3540.98779296875
2021-04-15,75.36106872558594,3067.46533203125,2455.48828125,3196.600830078125,4634.70849609375,1860.0850830078125,399.630615234375,7392.248046875,522.03759765625,184.31593322753906,2811.298095703125,338.6102600097656,4762.80712890625,302.74969482421875,469.38006591796875,150.20484924316406,2506.13134765625,56.12301254272461,1572.178955078125,6666.57421875,6402.61328125,3220.398193359375,2831.79833984375,2809.450439453125,1623.32080078125,2664.130615234375,837.3711547851562,9181.1591796875,15315.0,926.4779052734375,302.4315490722656,1355.2603759765625,2404.137939453125,2557.9765625,,419.8542175292969,857.5991821289062,206.8542938232422,2045.6500244140625,66.46019744873047,1254.746826171875,1548.6524658203125,587.9886474609375,6076.201171875,121.4706802368164,182.22320556640625,351.0125732421875,716.7732543945312,275.17352294921875,42.7180061340332,219.6645965576172,7895.095703125,154.71371459960938,2130.781494140625,218.15621948242188,406.2232971191406,895.9481201171875,208.48114013671875,7967.10888671875,2141.0,744.2308959960938,1521.978271484375,2773.07373046875,3199.608154296875,815.8173828125,2462.59375,1928.568359375,5960.568359375,6903.0673828125,617.5545043945312,106.98670959472656,243.8230438232422,609.3665771484375,644.5364379882812,981.1510620117188,3562.446533203125,1626.4786376953125,1228.7266845703125,1433.5552978515625,11995.1123046875,1503.704833984375,485.81536865234375,1333.913330078125,2436.947998046875,224.0026092529297,191.04054260253906,4446.6455078125,1119.81884765625,964.2621459960938,132.86729431152344,965.2060546875,3536.992431640625
2021-04-16,74.86199188232422,3116.162841796875,2424.531982421875,3189.623779296875,4671.6826171875,1869.5704345703125,404.14959716796875,7372.26904296875,521.23876953125,188.84796142578125,2889.998779296875,336.61260986328125,4773.162109375,302.20098876953125,482.3628845214844,153.9961395263672,2506.13134765625,56.46267318725586,1587.166259765625,6732.50048828125,6436.552734375,3225.891357421875,2855.780029296875,2868.313232421875,1646.30419921875,2714.094970703125,845.3651733398438,9335.0107421875,15685.0,924.4807739257812,301.234619140625,1353.25,2363.20361328125,2561.974609375,,426.13482666015625,859.1973266601562,208.15370178222656,2012.7200927734375,66.46019744873047,1255.2459716796875,1576.5565185546875,595.5833740234375,6090.18310546875,122.36823272705078,185.86204528808594,354.50469970703125,719.1664428710938,278.0638122558594,43.366607666015625,220.8616485595703,7695.2197265625,156.46331787109375,2169.17431640625,220.24716186523438,416.23052978515625,900.1381225585938,214.16934204101562,8190.74658203125,2181.0,756.7808837890625,1504.5341796875,2788.063720703125,3191.631103515625,815.8173828125,2472.5830078125,1933.5633544921875,6030.29248046875,6923.8564453125,609.9600830078125,104.54701232910156,248.01141357421875,614.1152954101562,643.3377685546875,984.3458251953125,3609.34716796875,1641.460205078125,1244.72314453125,1443.0423583984375,12120.0087890625,1487.2410888671875,493.2033996582031,1340.90234375,2425.970947265625,231.38790893554688,190.29312133789062,4445.044921875,1125.809814453125,955.08251953125,134.70074462890625,975.781982421875,3525.005859375
2021-04-19,74.86199188232422,3103.501953125,2456.48681640625,3183.642822265625,4596.73486328125,1864.578125,401.3989562988281,7410.2294921875,522.2373046875,187.3505859375,2902.94970703125,336.21307373046875,4765.91357421875,300.10614013671875,489.85296630859375,154.2954559326172,2501.138916015625,56.7224006652832,1574.1773681640625,6696.541015625,6442.54248046875,3216.90283203125,2851.78271484375,2868.313232421875,1643.3062744140625,2692.110595703125,838.3702392578125,9319.025390625,15160.0,918.28955078125,303.0299987792969,1344.8074951171875,2377.18115234375,2542.982666015625,,426.7828369140625,859.796630859375,210.05282592773438,1999.74755859375,65.72090148925781,1242.264404296875,1575.559814453125,590.7866821289062,6022.27001953125,121.57040405273438,182.5830841064453,359.8926696777344,722.7564086914062,276.1701354980469,43.660980224609375,222.05874633789062,7725.20166015625,162.06199645996094,2159.85009765625,218.05662536621094,397.03057861328125,905.3256225585938,213.364501953125,8098.8955078125,2226.0,746.0238037109375,1505.9881591796875,2708.119873046875,3175.678466796875,812.8211059570312,2467.58837890625,1923.0738525390625,6065.15771484375,6969.59228515625,610.3597412109375,105.16693878173828,253.99481201171875,617.6769409179688,643.3377685546875,986.94140625,3561.44873046875,1637.9642333984375,1215.7294921875,1410.58642578125,12174.9638671875,1490.733154296875,494.4014892578125,1327.9227294921875,2454.910888671875,234.03257751464844,189.74501037597656,4410.88525390625,1128.3060302734375,971.2466430664062,134.80043029785156,972.9884643554688,3515.017333984375
