Date,AAPL,ABNB,ADBE,ADI,AMAT,AMD,AMZN,ASML,AVGO,BIDU,BKNG,CDNS,CHTR,CMCSA,COST,CSCO,DLTR,EBAY,GFS,GOOG,GOOGL,INTC,JD,KDP,KHC,KLAC,LRCX,LULU,MCHP,MDLZ,MELI,META,MNST,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ON,PDD,QCOM,ROST,SBUX,SMCI,SNPS,TCOM,TSLA,TXN,ADP,ALGN,AMGN,AZN,BIIB,CDW,CEG,CPRT,CRWD,CSGP,CTAS,CTSH,DDOG,DXCM,EXC,FANG,FAST,FTNT,GEHC,GILD,HON,IDXX,ILMN,INTU,ISRG,LCID,MDB,MRNA,ODFL,ORLY,PANW,PAYX,PCAR,PYPL,REGN,RIVN,ROP,SIRI,TEAM,TTD,VRSK,VRTX,WBD,WDAY,XEL,ZS
2021-04-05,122.62604522705078,186.69000244140625,491.6199951171875,149.98992919921875,137.08016967773438,81.43000030517578,161.3365020751953,611.4368896484375,44.19480895996094,222.2899932861328,2364.999267578125,145.8699951171875,605.5,43.840362548828125,341.6063537597656,45.425994873046875,119.26000213623047,58.354949951171875,,110.3713607788086,110.03852081298828,60.518978118896484,74.8518295288086,30.756370544433594,31.745853424072266,336.9339599609375,62.647216796875,298.75,73.82162475585938,51.69193649291992,1503.449951171875,306.5047302246094,46.720001220703125,50.0550537109375,238.9975128173828,91.43315887451172,54.06700134277344,13.952332496643066,196.32664489746094,44.029998779296875,142.91000366210938,125.79466247558594,116.32892608642578,98.98133087158203,4.0,260.1099853515625,39.498043060302734,230.35000610351562,170.7689971923828,173.49671936035156,547.9400024414062,215.4165802001953,89.1648941040039,277.8800048828125,161.16519165039062,,28.4375,186.6199951171875,84.8239974975586,84.53329467773438,74.20547485351562,83.23999786376953,92.04000091552734,26.608409881591797,61.023624420166016,22.806644439697266,38.25400161743164,,55.062644958496094,186.52597045898438,491.30999755859375,374.066162109375,389.6280517578125,255.30999755859375,230.0,289.6000061035156,129.91000366210938,120.18754577636719,33.94066619873047,55.17166519165039,86.86165618896484,52.04086685180664,249.68507385253906,481.30841064453125,,403.41046142578125,52.8797721862793,221.22999572753906,65.31800079345703,175.6891632080078,215.32000732421875,41.63999938964844,255.0,58.12056350708008,175.19000244140625
2021-04-06,122.92797088623047,190.02999877929688,491.3399963378906,148.35690307617188,133.71665954589844,81.44000244140625,161.1909942626953,599.513427734375,43.77772903442383,226.5500030517578,2377.58349609375,143.4600067138672,613.3900146484375,44.073421478271484,340.9436340332031,45.09663009643555,117.61000061035156,57.28295135498047,,110.3316879272461,109.55750274658203,59.62764358520508,75.77738189697266,30.81788444519043,32.05299758911133,328.8873291015625,61.85842514038086,308.5199890136719,72.43367767333984,51.92921447753906,1547.7900390625,303.8753662109375,46.8650016784668,49.83942413330078,237.83642578125,91.1795883178711,54.452999114990234,13.826653480529785,194.68984985351562,43.56999969482422,148.1300048828125,123.75977325439453,116.82081604003906,100.88036346435547,3.936000108718872,257.3599853515625,39.98567581176758,230.5399932861328,168.73988342285156,170.20777893066406,553.8400268554688,212.92066955566406,88.60682678222656,271.760009765625,161.15582275390625,,28.212499618530273,194.3800048828125,86.11399841308594,83.29888153076172,73.58654022216797,88.88999938964844,93.25,26.656267166137695,61.07219314575195,22.731271743774414,38.93600082397461,,54.97133255004883,186.4579315185547,492.8999938964844,403.5408630371094,388.7174072265625,255.61666870117188,244.60000610351562,296.5,133.52999877929688,119.35309600830078,34.284000396728516,56.22999954223633,82.58606719970703,51.426082611083984,251.84353637695312,475.4678649902344,,404.1884765625,53.21552276611328,223.1300048828125,66.96299743652344,175.0504913330078,215.3000030517578,43.380001068115234,254.89999389648438,58.163238525390625,182.1199951171875
2021-04-07,124.57402801513672,179.94000244140625,493.4100036621094,146.28350830078125,133.33334350585938,82.19999694824219,163.96949768066406,598.1387939453125,43.6501579284668,222.0,2366.43212890625,142.55999755859375,611.6300048828125,43.88053894042969,339.7034606933594,44.87128448486328,117.16000366210938,56.586612701416016,,111.56803131103516,111.03380584716797,60.25521469116211,73.72663879394531,30.993637084960938,32.00575256347656,330.2536926269531,62.45569610595703,306.0400085449219,71.96956634521484,52.01710891723633,1542.0,310.65216064453125,47.1150016784668,49.35917282104492,239.79393005371094,91.63797760009766,54.69900131225586,14.107942581176758,193.9857177734375,42.93000030517578,137.88999938964844,124.98785400390625,116.7356948852539,100.91603088378906,3.934000015258789,257.0,38.6223030090332,223.6566619873047,167.4391326904297,166.97276306152344,552.5599975585938,212.08299255371094,87.16664123535156,268.0199890136719,160.02830505371094,,28.354999542236328,193.92999267578125,85.98799896240234,83.64028930664062,73.17086791992188,86.5999984741211,92.3499984741211,26.889564514160156,61.76009750366211,22.137168884277344,38.566001892089844,,54.44842529296875,185.8709716796875,489.2699890136719,389.64007568359375,388.5719909667969,253.67333984375,228.1999969482422,284.7900085449219,131.47000122070312,118.77240753173828,34.17599868774414,56.4283332824707,82.0581283569336,51.21561050415039,254.24072265625,478.5570373535156,,403.313232421875,53.131587982177734,217.6300048828125,67.78700256347656,174.17953491210938,212.72000122070312,43.38999938964844,251.92999267578125,58.06938171386719,180.02000427246094
2021-04-08,126.97003936767578,180.17999267578125,499.8399963378906,148.73306274414062,133.53457641601562,83.3499984741211,164.96499633789062,610.8544311523438,43.92339324951172,226.77000427246094,2383.4638671875,145.4600067138672,615.1599731445312,43.663551330566406,341.985107421875,44.99262619018555,116.87999725341797,56.9806022644043,,112.34962463378906,111.59913635253906,60.982826232910156,74.53423309326172,31.028776168823242,32.1396369934082,335.9470520019531,63.32980728149414,312.55999755859375,72.90684509277344,51.83255386352539,1588.0,310.58270263671875,47.650001525878906,49.43767166137695,243.00843811035156,92.93509674072266,55.45800018310547,14.281006813049316,191.30648803710938,43.060001373291016,140.1999969482422,125.8035888671875,120.55718231201172,100.78227996826172,3.9579999446868896,261.010009765625,38.363555908203125,227.93333435058594,169.26882934570312,169.12045288085938,575.75,211.02313232421875,89.11090087890625,265.7300109863281,164.0403289794922,,28.735000610351562,203.4499969482422,87.44300079345703,82.54676818847656,73.9560546875,88.31999969482422,94.59500122070312,26.85965347290039,60.86175537109375,22.265748977661133,39.316001892089844,,53.9670295715332,187.0279083251953,499.6600036621094,392.7431945800781,398.5224609375,256.7833251953125,231.60000610351562,296.75,133.8800048828125,119.54341125488281,33.88133239746094,57.20833206176758,83.12269592285156,51.420536041259766,263.0933837890625,473.1634826660156,,406.6778869628906,52.96369934082031,224.11000061035156,69.04000091552734,175.36013793945312,210.27999877929688,41.880001068115234,257.0400085449219,57.787757873535156,185.19000244140625
2021-04-09,129.54139709472656,179.5,504.0400085449219,147.92572021484375,133.11293029785156,82.76000213623047,168.61000061035156,605.546875,43.888099670410156,219.6699981689453,2405.12939453125,145.35000610351562,614.239990234375,43.05274963378906,343.8690490722656,45.148643493652344,117.55000305175781,57.23714828491211,,113.36328125,112.60284423828125,62.08333206176758,72.96443176269531,30.905759811401367,31.611970901489258,334.8179016113281,62.76097869873047,318.1199951171875,72.87982177734375,51.71830749511719,1584.72998046875,310.0270690917969,47.64500045776367,48.67226028442383,245.50332641601562,92.94487762451172,55.53099822998047,14.36379623413086,191.2882080078125,42.959999084472656,137.6199951171875,126.00980377197266,121.28555297851562,100.9071044921875,3.9679999351501465,261.8500061035156,37.03003692626953,225.67333984375,169.46826171875,170.23477172851562,592.5599975585938,212.79246520996094,89.90298461914062,268.1700134277344,164.83892822265625,,29.50749969482422,202.67999267578125,88.7490005493164,84.16082000732422,74.4087142944336,88.80000305175781,95.72250366210938,26.81778335571289,60.53801727294922,22.19480323791504,39.52399826049805,,54.04174041748047,193.08457946777344,502.8800048828125,392.3832702636719,405.1980285644531,261.49334716796875,229.6999969482422,297.9599914550781,140.9199981689453,121.64168548583984,34.44733428955078,58.25166702270508,83.399658203125,51.70854568481445,265.3512878417969,471.9814453125,,409.96478271484375,53.29945755004883,225.39999389648438,69.25599670410156,176.802001953125,213.35000610351562,42.0,257.6099853515625,57.54030227661133,185.0399932861328
2021-04-12,127.82719421386719,176.49000549316406,506.0299987792969,146.54039001464844,129.36611938476562,78.58000183105469,168.96949768066406,601.8331909179688,43.75963592529297,214.13999938964844,2364.87109375,144.7899932861328,619.2999877929688,42.851844787597656,345.3839416503906,44.697933197021484,117.04000091552734,57.39289855957031,,111.82145690917969,111.31102752685547,59.4912223815918,71.36739349365234,31.18695831298828,32.05299758911133,327.4639892578125,61.648902893066406,323.8699951171875,71.54595947265625,51.50739288330078,1593.6500244140625,309.11419677734375,47.709999084472656,48.72133255004883,245.56089782714844,93.2276840209961,55.27799987792969,15.170762062072754,190.14520263671875,42.400001525878906,133.77000427246094,123.20397186279297,121.07743835449219,101.46878814697266,4.002999782562256,258.04998779296875,35.02975845336914,233.9933319091797,166.86680603027344,170.52227783203125,601.1099853515625,212.78390502929688,88.96686553955078,262.79998779296875,163.72084045410156,,29.577499389648438,203.99000549316406,88.7490005493164,84.8031005859375,74.11309051513672,90.45999908447266,96.7874984741211,26.763940811157227,59.7934455871582,22.482994079589844,39.417999267578125,,53.66822814941406,194.46275329589844,506.42999267578125,388.12255859375,403.56793212890625,259.7533264160156,220.3000030517578,304.2099914550781,139.39999389648438,121.51482391357422,34.63800048828125,59.22666549682617,82.95823669433594,52.77750778198242,267.59930419921875,469.6273193359375,,413.92266845703125,52.29221725463867,230.66000366210938,70.58599853515625,176.60850524902344,213.60000610351562,40.380001068115234,259.510009765625,57.94990539550781,188.3800048828125
2021-04-13,130.93421936035156,177.9499969482422,514.8599853515625,146.01747131347656,129.4619598388672,80.19000244140625,170.0,600.5827026367188,43.876346588134766,216.55999755859375,2360.19873046875,146.14999389648438,621.2899780273438,43.3018913269043,345.76263427734375,44.77594757080078,117.6500015258789,58.474056243896484,,112.44036865234375,111.7974853515625,59.318416595458984,71.50350189208984,31.09029769897461,32.22624969482422,326.5435791015625,61.148338317871094,324.0,70.91056823730469,51.57769012451172,1598.199951171875,307.3481140136719,47.94499969482422,47.83816146850586,248.03652954101562,89.87271881103516,55.37300109863281,15.640080451965332,184.71348571777344,42.040000915527344,135.14999389648438,123.07850646972656,119.55451202392578,102.85072326660156,3.953000068664551,261.92999267578125,34.97005081176758,254.10667419433594,165.83489990234375,172.46328735351562,595.6300048828125,213.64723205566406,88.55281066894531,266.19000244140625,165.2617645263672,,29.38249969482422,216.35000610351562,90.57499694824219,84.87712097167969,74.30709075927734,94.20999908447266,97.0250015258789,27.02117156982422,61.31498718261719,22.159332275390625,40.007999420166016,,53.859130859375,194.802978515625,516.9400024414062,392.16925048828125,406.488525390625,264.8233337402344,220.89999389648438,315.79998779296875,149.7100067138672,121.1781234741211,34.35933303833008,59.983333587646484,83.33041381835938,52.46181106567383,273.96527099609375,473.8388977050781,,410.00372314453125,52.0404167175293,242.19000244140625,72.2969970703125,177.64398193359375,215.94000244140625,40.380001068115234,265.92999267578125,58.43629455566406,196.64999389648438
2021-04-14,128.59664916992188,176.42999267578125,510.6300048828125,145.37530517578125,128.54200744628906,78.55000305175781,166.64999389648438,602.3677368164062,43.183319091796875,216.25999450683594,2409.212646484375,144.61000061035156,617.0999755859375,42.835758209228516,343.8312683105469,44.52458953857422,114.9000015258789,57.530338287353516,,111.82394409179688,111.17662811279297,58.38162612915039,70.88646697998047,31.072725296020508,31.71435546875,319.303466796875,60.716033935546875,323.0,70.44192504882812,51.25253677368164,1546.56005859375,300.462158203125,47.400001525878906,47.170875549316406,245.25381469726562,88.42928314208984,54.00199890136719,15.2385892868042,182.78408813476562,42.099998474121094,132.61000061035156,120.79264831542969,120.0085678100586,102.67240905761719,3.927999973297119,258.5899963378906,35.49748611450195,244.07666015625,165.04580688476562,171.77139282226562,594.9299926757812,213.3651580810547,89.72295379638672,265.7900085449219,167.3664093017578,,29.74250030517578,208.1999969482422,89.52799987792969,83.58779907226562,73.40179443359375,93.25,97.7750015258789,27.18867301940918,65.02171325683594,22.19480323791504,39.86399841308594,,54.19943618774414,195.126220703125,514.1599731445312,387.2276306152344,399.0657958984375,261.9433288574219,217.3000030517578,309.0,160.02999877929688,120.96339416503906,34.51266860961914,60.163333892822266,83.73717498779297,51.85255432128906,265.7889709472656,477.9312744140625,,407.4558410644531,52.71189880371094,231.47999572753906,71.61000061035156,176.07623291015625,217.1300048828125,38.380001068115234,259.8500061035156,58.60696792602539,192.38999938964844
2021-04-15,131.0023956298828,175.35000610351562,523.25,147.4394989013672,128.80075073242188,83.01000213623047,168.95449829101562,612.96435546875,43.4276008605957,210.22999572753906,2388.587890625,147.58999633789062,636.0,43.510841369628906,349.1614074707031,44.75859832763672,117.0199966430664,58.96883010864258,,113.89791107177734,113.32585906982422,59.136505126953125,70.31478881835938,31.485736846923828,32.328636169433594,321.2392272949219,61.5759162902832,325.8299865722656,72.28948974609375,51.59527587890625,1599.47998046875,305.4231872558594,47.974998474121094,47.86760330200195,249.00570678710938,88.0391616821289,54.922000885009766,16.096681594848633,184.50318908691406,42.630001068115234,132.3800048828125,123.56256103515625,122.0895767211914,104.00975799560547,3.933000087738037,262.1300048828125,35.9254035949707,246.28334045410156,167.50848388671875,172.4363555908203,606.22998046875,218.07492065429688,91.50518035888672,270.44000244140625,169.89385986328125,,30.420000076293945,213.10000610351562,91.33599853515625,84.01277923583984,73.68818664550781,95.2699966430664,99.87249755859375,27.38010025024414,64.00196075439453,22.34111213684082,41.108001708984375,,54.589534759521484,195.51751708984375,528.4600219726562,391.0116882324219,405.1494445800781,268.239990234375,201.1999969482422,319.5899963378906,159.8699951171875,122.03693389892578,34.79933166503906,61.72999954223633,83.35637664794922,52.63349914550781,272.5428771972656,491.32080078125,,413.2419128417969,52.37617111206055,239.1300048828125,73.5,178.5438995361328,221.10000610351562,37.81999969482422,260.2900085449219,59.69924545288086,195.9199981689453
2021-04-16,130.67127990722656,178.69000244140625,525.0800170898438,146.33856201171875,128.14910888671875,82.1500015258789,169.9720001220703,616.4010009765625,43.318111419677734,213.55999755859375,2431.477294921875,147.25999450683594,644.3699951171875,44.2904052734375,350.97918701171875,45.76403045654297,117.36000061035156,59.49108123779297,,113.95245361328125,113.20188903808594,58.89094161987305,69.90646362304688,31.643896102905273,32.28926086425781,315.9823913574219,61.02699661254883,324.1000061035156,71.32965087890625,51.64801025390625,1591.8800048828125,303.7958984375,49.084999084472656,47.013885498046875,250.19554138183594,88.41954040527344,54.65399932861328,15.872493743896484,182.3177032470703,42.18000030517578,133.30999755859375,123.8941879272461,122.88414764404297,105.50757598876953,3.9170000553131104,260.7699890136719,36.33342361450195,246.5933380126953,166.43325805664062,173.37989807128906,606.3300170898438,218.57064819335938,91.34317016601562,270.30999755859375,172.89109802246094,,30.8700008392334,215.1999969482422,90.49299621582031,83.69283294677734,74.47335815429688,90.33999633789062,100.01000213623047,27.613405227661133,62.755592346191406,22.407615661621094,41.20199966430664,,55.50253677368164,197.4485626220703,535.0,388.1322937011719,403.46124267578125,270.8566589355469,195.1999969482422,315.8500061035156,170.80999755859375,122.66155242919922,35.36800003051758,61.108333587646484,84.38632202148438,52.57257080078125,268.4348449707031,499.22735595703125,,411.62774658203125,52.96369934082031,234.75999450683594,71.88600158691406,179.47293090820312,219.38999938964844,37.34000015258789,256.3500061035156,60.04911422729492,192.49000549316406
