Date,IDU,IYC,IYE,IYF,IYH,IYJ,IYM,IYR,IYW,VAW,VCR,VDE,VFH,VGT,VHT,VIS,VNQ,VPU,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-03-29,70.49981689453125,72.4315414428711,22.869606018066406,69.28593444824219,47.65141677856445,100.52130126953125,115.93553924560547,81.31059265136719,85.17420196533203,159.638916015625,278.1642150878906,58.01774215698242,76.58992767333984,343.6105041503906,213.0135498046875,176.7763214111328,77.10746002197266,121.35607147216797,36.10323715209961,69.64575958251953,20.843717575073242,31.387540817260742,91.3787841796875,63.59723663330078,61.069969177246094,33.99142074584961,27.749271392822266,108.92036437988281,79.44343566894531
2021-03-30,69.92435455322266,72.72309875488281,22.663728713989258,69.52594757080078,47.308265686035156,100.80734252929688,115.5408706665039,81.2490005493164,84.63357543945312,159.46409606933594,281.1741027832031,57.57139587402344,77.27933502197266,341.43206787109375,211.53948974609375,177.84669494628906,77.20770263671875,120.31195068359375,35.99868392944336,69.64575958251953,20.663850784301758,31.608638763427734,91.7783432006836,62.99488830566406,60.417579650878906,33.8463020324707,27.498376846313477,107.9383544921875,80.22271728515625
2021-03-31,70.43782043457031,72.72309875488281,22.50074005126953,69.11056518554688,47.594844818115234,100.7691879272461,115.25633239746094,80.9145736694336,86.20631408691406,159.13287353515625,283.1391906738281,57.26821517944336,76.6534194946289,347.0863342285156,213.40533447265625,177.7152557373047,76.73987579345703,121.24386596679688,35.821407318115234,69.92234802246094,20.52163314819336,31.369115829467773,91.48099517822266,63.9971809387207,60.223609924316406,33.70972442626953,27.701688766479492,108.15141296386719,80.84805297851562
2021-04-01,70.34929656982422,73.58802795410156,23.075485229492188,70.070556640625,47.47984313964844,101.54149627685547,116.54135131835938,82.3578872680664,88.1919174194336,160.6050567626953,285.8039245605469,58.80939483642578,77.5877685546875,354.3282775878906,213.29339599609375,178.8983612060547,78.13497924804688,121.1230697631836,36.135047912597656,71.12396240234375,21.04450035095215,31.756046295166016,91.78765106201172,65.28377532958984,59.932682037353516,34.24750518798828,27.67573356628418,107.82717895507812,81.49747467041016
2021-04-05,71.1283950805664,74.4821548461914,22.517894744873047,70.6243896484375,47.80224609375,102.78095245361328,117.67950439453125,82.68352508544922,90.03005981445312,162.4820556640625,291.1048278808594,57.25978469848633,78.15926361083984,360.6022644042969,214.47821044921875,180.7574920654297,78.43572998046875,122.39153289794922,36.58056640625,72.62120819091797,20.54254150390625,32.004783630371094,92.92127990722656,66.63298797607422,60.699676513671875,34.42676544189453,27.97852897644043,108.57757568359375,83.34947204589844
2021-04-06,71.38514709472656,75.04583740234375,22.483583450317383,70.56901550292969,47.691009521484375,102.67610931396484,117.59689331054688,82.90352630615234,89.82363891601562,162.6660919189453,292.6000671386719,57.25136184692383,78.05040740966797,359.9534912109375,213.8998260498047,180.65419006347656,78.63624572753906,122.90925598144531,36.66238784790039,72.80238342285156,20.48816680908203,31.94029426574707,92.69825744628906,66.34871673583984,60.955352783203125,34.512123107910156,28.12560272216797,108.16067504882812,83.71025085449219
2021-04-07,71.28777313232422,74.81257629394531,22.586524963378906,70.81824493408203,47.42327880859375,102.24702453613281,115.66020202636719,82.90352630615234,90.40359497070312,159.85975646972656,291.6894836425781,57.49559783935547,78.27718353271484,361.2508850097656,212.6589813232422,179.4241485595703,78.6947250366211,122.67622375488281,36.03050231933594,73.36505126953125,20.55927848815918,32.096920013427734,92.27083587646484,66.70047760009766,60.805484771728516,34.5548095703125,28.09099769592285,107.91979217529297,83.46011352539062
2021-04-08,71.22579193115234,75.08467864990234,22.269132614135742,70.87364959716797,47.59297180175781,103.00978088378906,115.76116943359375,82.70110321044922,91.66178894042969,159.97933959960938,293.19439697265625,56.69552993774414,78.32255554199219,366.7502746582031,213.46128845214844,180.0345001220703,78.4023208618164,122.58136749267578,36.07596969604492,73.37460327148438,20.291566848754883,32.10612106323242,92.49383544921875,67.66419982910156,60.86720275878906,34.38408279418945,28.069368362426758,108.0865707397461,83.85455322265625
2021-04-09,71.19037628173828,75.483154296875,22.149032592773438,71.28901672363281,48.058658599853516,103.95368957519531,116.33024597167969,82.69232177734375,92.35969543457031,161.12030029296875,296.175537109375,56.24074935913086,78.93939971923828,369.800048828125,214.9912872314453,181.66822814941406,78.31043243408203,122.56411743164062,36.38964080810547,73.35550689697266,20.157712936401367,32.382503509521484,93.39517974853516,68.31474304199219,60.76140594482422,34.435306549072266,28.03908920288086,109.27239990234375,84.653076171875
2021-04-12,71.28777313232422,75.43456268310547,21.943151473999023,71.59363555908203,48.10580062866211,104.3255386352539,116.63311767578125,83.14116668701172,91.88787078857422,161.79196166992188,297.53668212890625,55.71860885620117,79.2659683227539,368.58013916015625,214.95399475097656,182.24099731445312,78.7698974609375,122.67622375488281,36.516910552978516,73.05989837646484,19.99875831604004,32.52069091796875,93.7389907836914,67.98705291748047,61.08758544921875,34.64017868041992,28.065038681030273,109.3835678100586,85.1966552734375
2021-04-13,72.09342193603516,75.5511703491211,21.960308074951172,71.233642578125,48.4376220703125,104.21113586425781,116.49545288085938,83.64281463623047,92.949462890625,161.21234130859375,299.77020263671875,55.760704040527344,78.54026794433594,372.5496826171875,216.6798553466797,181.4617156982422,79.16252899169922,124.1086654663086,36.430545806884766,73.15526580810547,20.01967430114746,32.216678619384766,93.28367614746094,68.62796020507812,60.76140594482422,34.84504318237305,28.398122787475586,109.83750915527344,86.09618377685547
2021-04-14,72.40330505371094,75.24990844726562,22.603679656982422,71.48285675048828,48.447044372558594,103.91555786132812,117.64277648925781,83.13235473632812,91.77973175048828,162.50965881347656,297.2970886230469,57.48716735839844,79.15713500976562,368.5123596191406,216.82916259765625,181.73397827148438,78.74484252929688,124.60050964355469,36.69419860839844,72.40184783935547,20.576005935668945,32.41014862060547,93.40445709228516,67.90033721923828,60.7085075378418,34.63163375854492,28.523569107055664,109.82825469970703,85.24957275390625
2021-04-15,73.21780395507812,75.79413604736328,22.42353630065918,71.88900756835938,49.331298828125,104.77364349365234,119.01041412353516,84.60210418701172,93.45081329345703,164.28546142578125,299.5975646972656,57.02397155761719,79.08454895019531,374.7765197753906,220.84071350097656,182.3348846435547,80.12325286865234,126.02423095703125,37.12605667114258,73.32691192626953,20.408689498901367,32.382503509521484,93.77616882324219,69.06644439697266,61.193397521972656,35.2889289855957,28.83934211730957,111.70890045166016,85.8604736328125
2021-04-16,73.80213928222656,76.20233154296875,22.226232528686523,72.22132873535156,49.681983947753906,104.98341369628906,120.23115539550781,84.76931762695312,93.25418853759766,166.3925323486328,301.83099365234375,56.4849853515625,79.61070251464844,374.1955261230469,221.83892822265625,183.1518096923828,80.2986831665039,126.94756317138672,37.57610321044922,73.27922821044922,20.245553970336914,32.612823486328125,93.98058319091797,69.052001953125,61.5460319519043,35.34014892578125,29.072933197021484,112.54268646240234,86.5243148803711
2021-04-19,73.34176635742188,75.7552490234375,22.20907974243164,72.101318359375,49.519832611083984,104.41134643554688,119.67125701904297,84.9717025756836,92.33020782470703,165.4907989501953,298.4377746582031,56.37549591064453,79.40203094482422,370.6617126464844,220.99932861328125,181.98751831054688,80.45740509033203,126.25723266601562,37.40335464477539,72.86917114257812,20.224639892578125,32.52069091796875,93.59031677246094,68.47856903076172,61.30801010131836,35.45111846923828,28.925857543945312,112.57048797607422,85.55262756347656
2021-04-20,74.22710418701172,74.8514175415039,21.617177963256836,71.20594787597656,49.710262298583984,103.5532455444336,118.13842010498047,85.86061096191406,91.48484802246094,163.4113311767578,294.07635498046875,54.775352478027344,77.8236312866211,366.9051818847656,221.6150665283203,179.85606384277344,81.11738586425781,127.77590942382812,37.04423904418945,72.4781494140625,19.689220428466797,31.912654876708984,92.55887603759766,67.87142181396484,61.64302444458008,35.843780517578125,29.293533325195312,113.00591278076172,84.47509765625
2021-04-21,73.67819213867188,75.22074127197266,21.9345760345459,72.11054992675781,50.34941101074219,104.73551940917969,120.62583923339844,86.25664520263672,92.24172973632812,166.61334228515625,298.2556457519531,55.55016326904297,79.00287628173828,370.7682189941406,224.74961853027344,182.46632385253906,81.65203857421875,126.72322082519531,37.71702575683594,72.60211944580078,19.94019889831543,32.354862213134766,93.82262420654297,68.55567932128906,61.951602935791016,36.0059700012207,29.046974182128906,114.33998107910156,85.60072326660156
2021-04-22,73.17355346679688,74.8514175415039,21.634336471557617,71.57516479492188,50.14956283569336,104.27787780761719,118.14761352539062,85.90462493896484,91.18013763427734,163.935791015625,295.76336669921875,54.893253326416016,78.15019989013672,367.3215026855469,223.87271118164062,181.6964111328125,81.2092514038086,125.87757110595703,37.08060073852539,72.06807708740234,19.70595359802246,31.995573043823242,93.34870910644531,67.75094604492188,61.49314498901367,35.852325439453125,28.83934211730957,113.8304214477539,84.653076171875
2021-04-23,72.97876739501953,75.39568328857422,21.865947723388672,72.6551742553711,50.49836349487305,105.4982681274414,120.41475677490234,86.42385864257812,92.71356201171875,166.73292541503906,299.37713623046875,55.42383575439453,79.77397155761719,372.6755676269531,225.5985870361328,184.11891174316406,81.6854476928711,125.61009216308594,37.689754486083984,72.90730285644531,19.885820388793945,32.59440612792969,94.37084197998047,68.76287078857422,61.334468841552734,36.057193756103516,28.8004093170166,114.58084106445312,85.5381851196289
2021-04-26,72.61579132080078,75.3568115234375,22.011777877807617,72.90441131591797,50.470069885253906,105.44107055664062,121.60795593261719,86.56466674804688,93.38197326660156,167.98435974121094,300.7861328125,55.90388488769531,80.07331848144531,375.69635009765625,225.92515563964844,183.76214599609375,81.92771911621094,125.0232925415039,37.91249465942383,73.05989837646484,20.01967430114746,32.7233772277832,94.09209442138672,69.11463928222656,60.646785736083984,36.1340217590332,28.636035919189453,114.19172668457031,85.91339111328125
2021-04-27,72.01374053955078,75.61922454833984,22.286287307739258,73.3843765258789,50.18160629272461,105.90823364257812,121.07559967041016,86.59105682373047,93.09690856933594,167.68988037109375,301.23675537109375,56.543949127197266,80.74462127685547,374.37957763671875,224.69371032714844,185.1705780029297,81.91935729980469,123.98786926269531,37.81248474121094,72.76425170898438,20.262283325195312,32.9813232421875,94.87264251708984,68.94599914550781,60.602699279785156,36.1340217590332,28.415430068969727,113.53398895263672,85.8123779296875
2021-04-28,71.8986587524414,75.40540313720703,23.04117202758789,73.5782241821289,49.99684524536133,105.70803833007812,121.53453826904297,86.23023986816406,92.61527252197266,168.05787658691406,301.1697082519531,58.53147888183594,80.94418334960938,371.41693115234375,224.23655700683594,184.58840942382812,81.7439193725586,123.82392120361328,37.91704177856445,73.43180847167969,20.96084213256836,33.11030578613281,94.677490234375,68.30509948730469,60.646785736083984,36.0059700012207,28.37649154663086,113.19119262695312,85.71138000488281
2021-04-29,72.55379486083984,75.98851013183594,23.315673828125,74.55670166015625,49.73289108276367,106.28008270263672,121.80070495605469,86.93431091308594,92.72340393066406,168.68359375,301.1888732910156,59.171546936035156,82.22325134277344,370.27447509765625,222.82785034179688,185.57427978515625,82.4456558227539,125.00603485107422,38.15343475341797,75.46309661865234,21.195085525512695,33.69991683959961,95.3465347290039,68.24727630615234,61.29036331176758,36.27059555053711,28.636035919189453,112.73723602294922,85.73541259765625
2021-04-30,73.18241119384766,75.80387115478516,22.663728713989258,74.04901885986328,49.582061767578125,105.18363189697266,120.25869750976562,87.29512786865234,91.47502899169922,167.05499267578125,301.0258483886719,57.51244354248047,81.46125030517578,364.94940185546875,222.24940490722656,184.08135986328125,82.771484375,125.82581329345703,37.748844146728516,74.43315887451172,20.659666061401367,33.40510559082031,94.71466827392578,67.31729125976562,61.34326934814453,36.509613037109375,28.86096954345703,112.40371704101562,86.06732940673828
2021-05-03,73.18241119384766,75.9301986694336,23.28993797302246,74.21517944335938,50.0515251159668,105.8891830444336,122.45238494873047,87.1543197631836,90.9835433959961,169.8981475830078,300.2686462402344,59.17995834350586,81.86039733886719,363.487548828125,223.77008056640625,185.97805786132812,82.61275482177734,125.84306335449219,38.312538146972656,74.04215240478516,21.228551864624023,33.57094192504883,95.69034576416016,67.12934112548828,61.845787048339844,36.31327438354492,28.856637954711914,113.68218231201172,85.65846252441406
2021-05-04,72.8813705444336,75.2013168334961,23.29851531982422,74.38133239746094,49.889366149902344,105.91777801513672,123.06737518310547,86.36223602294922,89.11589813232422,172.1156005859375,297.1245422363281,59.2810173034668,82.43190002441406,356.1194763183594,222.68788146972656,186.40994262695312,82.07809448242188,125.42888641357422,38.730751037597656,73.37460327148438,21.241104125976562,33.83810806274414,96.10848236083984,65.9246597290039,61.528419494628906,36.09132766723633,28.74850082397461,113.80260467529297,84.76372528076172
2021-05-05,71.66846466064453,74.71537780761719,24.070560455322266,74.56591796875,49.90633773803711,105.92730712890625,125.21515655517578,85.11253356933594,88.87998962402344,174.35145568847656,295.8688659667969,61.19276428222656,83.12133026123047,355.0544738769531,222.3893585205078,186.447509765625,80.71636962890625,123.30615234375,39.221702575683594,73.23155212402344,21.927108764648438,34.11448669433594,96.20140075683594,65.76563262939453,61.484336853027344,35.56209182739258,28.264020919799805,114.00643157958984,84.49916076660156
2021-05-06,72.20851135253906,74.71537780761719,24.147764205932617,75.36900329589844,49.9025764465332,106.60425567626953,126.40840911865234,85.57018280029297,89.41080474853516,175.85125732421875,296.40570068359375,61.4538459777832,84.10103607177734,357.22320556640625,222.14678955078125,187.40524291992188,81.16751098632812,124.3502426147461,39.55354690551758,74.08985137939453,22.0400447845459,34.62118148803711,96.87044525146484,66.4258041381836,62.27780532836914,35.73282241821289,28.480308532714844,114.15469360351562,84.68193054199219
2021-05-07,72.50068664550781,75.46371459960938,24.636722564697266,75.9044189453125,50.2758674621582,107.53863525390625,127.87696075439453,86.76708984375,90.2659683227539,177.6178436279297,299.5400695800781,62.78448486328125,84.5727310180664,360.65069580078125,224.0406036376953,189.42396545410156,82.23680877685547,124.69537353515625,39.94450378417969,74.65250396728516,22.433244705200195,34.8054313659668,97.89259338378906,66.9944076538086,62.27780532836914,36.16816711425781,28.56682777404785,114.942138671875,85.44197845458984
2021-05-10,73.19124603271484,74.93891143798828,24.585250854492188,75.59976959228516,50.12126922607422,107.08097839355469,127.17021942138672,86.80229187011719,87.90685272216797,176.87255859375,293.9612121582031,62.514984130859375,84.27339172363281,351.32696533203125,222.64126586914062,189.12353515625,82.21174621582031,125.80855560302734,39.767208099365234,73.22200012207031,22.44161033630371,34.77779006958008,97.98548126220703,65.30305480957031,62.75387954711914,36.33035659790039,28.856637954711914,115.09037780761719,83.92190551757812
