Symbol,Description,Price,Price - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month,Simple Moving Average (50) 1 day,Simple Moving Average (200) 1 day,"Earnings per share basic, Annual","Earnings per share basic, Annual - Currency","Earnings per share diluted, Annual","Earnings per share diluted, Annual - Currency","EBITDA, Annual","EBITDA, Annual - Currency","Gross profit, Annual","Gross profit, Annual - Currency","Net income, Annual","Net income, Annual - Currency","Free cash flow, Annual","Free cash flow, Annual - Currency","Debt to revenue ratio, Annual","Debt to equity ratio, Annual",Market capitalization,Market capitalization - Currency,"Dividends per share, Annual","Dividends per share, Annual - Currency",Beta 5 years,Sector,Index,Analyst Rating,Country or region of registration,"Fiscal period end date, Annual",Industry,Volatility 1 day
BORANA,Borana Weaves Limited,341.25,INR,5,16.427840327533257,-12.275064267352185,12.5866050808314,51.80160142348753,16.467576791808874,40.4320987654321,40.4320987654321,40.4320987654321,40.4320987654321,4.882600900134289,4.5196284908796835,367.41799999999984,276.4555,0.174646499,USD,0.174646499,USD,7460621.802,USD,6173074.146000001,USD,4704496.55,USD,891505.1680000001,USD,0.2085598724675382,0.691574043086384,93241915.41225599,USD,,,1.3852968,Process industries,,No rating,India,2025-03-31,Textiles,4.797047970479705
4441,"Tobila Systems, Inc.",1410,JPY,0.4989308624376337,0.7142857142857143,2.69482884195193,8.211818879508826,37.159533073929964,7.469512195121951,56.14617940199336,-2.422145328719723,-21.95564151283709,-21.95564151283709,3.5093324463223587,4.208835467992602,1327.7600000000027,1165.4900000000068,0.3997651116,USD,0.39733488120000005,USD,6995350.7,USD,12032418.628,USD,4061262.916,USD,11052394.466,USD,0.0519254885102336,0.0561293807850792,93238120.85432,USD,0.1382583,USD,0.7699752,Technology services,,No rating,Japan,2025-10-31,Packaged software,2.482269503546099
ERCB,Erciyas Celik Boru Sanayi A.S.,56.4,TRY,3.5812672176308458,13.618049959709907,6.818181818181821,-21.229050279329606,-24.244459368703833,-20.338983050847457,-31.30328867235079,177.33261058488114,960.872285571335,269.2251156751355,6.551555990285698,4.286262038225462,57.57799999999995,72.31700000000019,-0.11942902400000001,USD,-0.11942902400000001,USD,16071041.5008,USD,39031508.767680004,USD,-9285520.42704,USD,-38750055.8016,USD,1.0337244248865198,2.05904560312695,93220234.31802002,USD,0,USD,1.6595333,Non-energy minerals,"BIST All Shares-100, BIST Industrials, BIST All Shares, BIST Basic Metal, BIST Main",No rating,Turkey,2025-12-31,Steel,6.233303650934996
TGE,Thachang Green Energy PCL,1.2,THB,-0.8264462809917362,0,-7.692307692307699,-6.976744186046517,-18.918918918918923,-15.492957746478872,-13.669064748201436,-40,-40,-40,1.3438968807862146,5.314984492974615,1.2912000000000028,1.37435,0.00299565,USD,0.00299565,USD,13226031.231999999,USD,10334289.9329,USD,7345945.2296,USD,5189567.692,USD,0.660595304906885,0.260411109917242,93210620.14934,USD,0.000101123,USD,0.67188936,Utilities,,No rating,Thailand,2025-12-31,Alternative power generation,2.5423728813559348
676,Pegasus International Holdings Limited,0.99,HKD,-1.0000000000000009,1.020408163265307,-1.980198019801982,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,9.999999999999996,23.74999999999999,-17.499999999999996,15.116279069767442,0,2.040816326530614,0.9954000000000004,0.8191500000000002,-0.005922006,USD,-0.005922006,USD,-1214793.5514,USD,1551291.4177967655,USD,-4327392.005358171,USD,,,1.2951282347854052,0.046306384833297,93209023.56167999,USD,,,0.115040705,Consumer non-durables,,No rating,Hong Kong,2025-12-31,Apparel/Footwear,1.010101010101011
8049,"Ampire Co., Ltd.",25.35,TWD,0.7952286282306277,1.1976047904191645,-1.3618677042801475,-5.410447761194027,-3.6121673003802255,0.39603960396040166,-3.795066413662239,2.0120724346076457,82.37410071942446,144.7862460836615,1.448558793322401,1.4527023296563055,26.059000000000005,26.141499999999965,0.05468989949999999,USD,0.054081277999999997,USD,7814763.789999999,USD,11441064.52,USD,6468881.784999999,USD,9718474.485,USD,0.052894851308349165,0.0290859789342233,93207438.400291,USD,0.04461099999999999,USD,0.2894877,Electronic technology,,No rating,Taiwan,2025-12-31,Electronic production equipment,1.1952191235059646
086670,"BMT Co., Ltd.",15720,KRW,9.015256588072122,3.4210526315789473,20.923076923076923,28.01302931596091,27.908868999186332,34.81989708404803,95.5223880597015,24.268774703557312,276.978417266187,129.24998853750054,7.106536663465733,7.658492619234045,13415.999999999985,11959.199999999997,1.4234399849999997,USD,1.332238821,USD,14584239.8343,USD,24541104.26682,USD,13116676.17987,USD,601400.3084999999,USD,0.6338184861413422,0.623689268846631,93197864.710134,USD,0.414,USD,0.3070263,Producer manufacturing,"KOSDAQ Composite, KOSDAQ SmallCap",No rating,South Korea,2025-12-31,Industrial machinery,10.689655172413794
1587,Cryomax Cooling System Corp.,37.3,TWD,0.40376850605652376,6.419400855920115,-2.6109660574412534,-29.22201138519925,-8.801955990220051,-25.325325325325334,48.605577689243006,26.717366323434806,80.13609632690918,80.13609632690918,3.2816462338248007,3.276482411819195,42.21500000000001,39.24775,0.011904763999999998,USD,0.011904763999999998,USD,7266972.574999999,USD,14270963.305,USD,953145.8799999999,USD,-2412722.2049999996,USD,0.5267102803667835,0.889162828122334,93186482.858558,USD,,,0.81867856,Producer manufacturing,,No rating,Taiwan,2025-12-31,Auto parts: OEM,2.3066485753052954
8370,Zhi Sheng Group Holdings Limited,4.67,HKD,-2.7083333333333313,-3.7113402061855614,-22.8099173553719,-9.320388349514571,-6.600000000000001,-9.320388349514571,-2.096436058700202,61.03448275862069,-86.65714285714286,-86.65714285714286,1.6666666666666654,2.537811381869372,5.861199999999994,5.394349999999999,-0.015269265,USD,-0.015269265,USD,-734138.3655,USD,2071395.6912884929,USD,-1857065.971854059,USD,-1111929.7814999998,USD,0.40534048893095836,0.773529657826486,93168768.08275999,USD,0,USD,1.2230594,Producer manufacturing,,No rating,China,2025-06-30,Office equipment/Supplies,6.6666666666666625
DWSN,Dawson Geophysical Company,3,USD,2.3890784982935096,8.303249097472925,-12.280701754385962,79.64071856287426,47.7832512315271,88.67924528301886,172.72727272727272,23.966942148760335,-30.155209094350536,-85.93040804630584,11.358300236397996,17.998129274236767,3.0355999999999996,2.0533069999999993,-0.0626,USD,-0.0626,USD,4534000,USD,7346000,USD,-1941000,USD,7146000,USD,0.2732165289256198,1.30705971659919,93158518,USD,0,USD,0.010141218,Technology services,"NASDAQ Composite, NASDAQ Industrials",No rating,United States,2025-12-31,Data processing services,5.828490931502016
SDI,SDI Group plc,70,GBX,4.477611940298507,9.375,-6.666666666666667,-7.894736842105263,-22.22222222222222,-17.159763313609467,48.3050847457627,-61.74863387978142,566.6666666666666,418.51851851851853,3.031674208144796,5.075319250729283,76.03199999999966,82.86249999999941,0.05076444,USD,0.05009824,USD,16075406,USD,54479171.2,USD,5308281.600000001,USD,10739144.000000002,USD,0.3320791211448086,0.442698575774058,93150084.01149999,USD,0,USD,1.1271812,Electronic technology,FTSE AIM All-Share,Strong buy,United Kingdom,2025-04-30,Electronic equipment/Instruments,4.411764705882353
FINKURVE,Finkurve Financial Services Ltd.,61.5,INR,-0.5015369681281382,17.793526144416777,-2.380952380952381,-36.60447376559118,-50.16207455429498,-39.25925925925926,-41.42857142857143,-41.42857142857143,-41.42857142857143,-41.42857142857143,13.172024023431998,11.671470298059052,72.54980000000002,,0.016055144,USD,0.016017697600000002,USD,4903243.318,USD,8715848.534,USD,2037002.246,USD,3756880.2920000004,USD,1.8067715976012075,1.1680926782353,93148641.950832,USD,0,USD,1.0162346,Finance,,No rating,India,2025-03-31,Finance/Rental/Leasing,20
UMB,Umbrella Global Energy SA,3.26,EUR,0,0.6172839506172707,2.6753349845794805,0.2306843019378593,-4.865791151211799,-0.3623966340094831,-17.859732012336416,-32.37447811144404,-32.37447811144404,-32.37447811144404,8.326672684688674e-17,0.05594458559693666,3.2267192959999993,3.51622278655,,,,,,,,,,,,,,,93140233.83812,USD,,,0.18385339,Electronic technology,IBEX Growth Market All Share,No rating,Spain,2025-12-31,Semiconductors,0
DAI,Decidr AI Industries Ltd,0.44,AUD,6.024096385542174,23.94366197183099,2.325581395348839,-24.786324786324784,-41.333333333333336,-29.032258064516128,-16.190476190476193,66.0377358490566,76,76,6.611111111111114,8.885272201534164,0.4055000000000004,0.5788000000000009,0.30807623000000006,USD,0.20608557200000002,USD,-13131215.020000001,USD,964012.28,USD,46760513.800000004,USD,-5524329.58,USD,7.383578947368422,0.167726755363411,93123556.7496,USD,0,USD,-0.85945797,Consumer non-durables,,No rating,Australia,2025-06-30,Food: major diversified,9.523809523809533
93M1,MPH Health Care AG,18.75,EUR,-0.7936507936507862,2.459016393442619,-7.178217821782176,-16.294642857142854,5.337078651685389,-15.540540540540539,-8.536585365853659,-40.476190476190474,-28.977272727272723,-28.977272727272723,1.326743431264637,2.54939527558276,21.024000000000022,19.954249999999963,7.74758648,USD,7.74758648,USD,34147363.184200004,USD,,,33170425.034979995,USD,1336448.3156,USD,1.719064573787473,0.037996931461706004,93090399.8985,USD,1.242264,USD,0.8554247,Finance,,Strong buy,Germany,2024-12-31,Financial conglomerates,1.3333333333333333
610,Wai Kee Holdings Limited,0.94,HKD,2.1739130434782505,5.617977528089879,2.1739130434782505,3.296703296703287,11.904761904761903,8.045977011494246,64.9122807017544,-77.93427230046949,-59.65665236051502,38.235294117647044,5.61797752808988,2.9288652946217626,0.9083999999999989,0.7741500000000038,-0.39406389599999997,USD,-0.39406389599999997,USD,86477602.02,USD,164323205.88,USD,-312541253.09999996,USD,,,0.04883953035205233,0.279657320386053,93084533.99446999,USD,0,USD,0.6507515,Industrial services,,No rating,Hong Kong,2025-12-31,Engineering & construction,5.617977528089879
LG,Lahontan Gold Corp.,0.34,CAD,0,-1.449275362318826,-11.688311688311684,41.666666666666686,83.7837837837838,41.666666666666686,580,-2.857142857142844,-2.857142857142844,-2.857142857142844,6.435508152873181,11.598365144978027,0.33684999999999987,0.1955375000000001,-0.00687951,USD,-0.00687951,USD,-1301512.9549999998,USD,0,USD,-1294230.1402682888,USD,-1002643.414,USD,,0,93080633.67408,USD,0,USD,1.7725682,Non-energy minerals,,No rating,Canada,2024-12-31,Precious metals,6.153846153846142
ALMY,Alma Yesodot Ltd,1672,ILA,0,-1.589170100058858,7.110826393337604,21.865889212827987,22.670579603815114,26.18867924528302,26.762699014404852,-62.333858977247125,-70.69237510955303,-70.69237510955303,2.0960936801644774,3.718874130569101,1545.6800000000026,1400.9049999999982,-0.4850080400000001,USD,-0.4850080400000001,USD,745131.7500000001,USD,4021790.3000000003,USD,-6154541.250000001,USD,-2763162.6,USD,1.8470144778548787,0.565581683298182,93079804.86111999,USD,0,USD,0.39696798,Commercial services,,No rating,Israel,2024-12-31,Miscellaneous commercial services,0
331740,"Autocrypt Co., Ltd.",15280,KRW,6.258692628650904,-0.7147498375568551,-14.012380416432189,-20,12.850812407680944,-17.405405405405407,-51.874015748031496,-51.874015748031496,-51.874015748031496,-51.874015748031496,7.490470286182578,9.224400896879036,16989.2,,-0.9106671749999998,USD,-0.9106671749999998,USD,-6020054.495399999,USD,-793560.42675,USD,-8628218.319389999,USD,-9055082.7339,USD,1.1247003706543153,0.937234404320938,93074771.0943,USD,0,USD,0.8339187,Technology services,"KOSDAQ Composite, KOSDAQ SmallCap",No rating,South Korea,2025-12-31,Packaged software,7.534246575342466
2038,Hai Kwang Enterprise Corporation,15.5,TWD,1.3071895424836555,-1.8987341772151942,3.3333333333333335,-1.5873015873015872,1.639344262295082,5.802047781569963,5.049847491172942,-19.415043009889036,187.158548176698,-11.136754992440022,2.262399909458731,3.7585314880537495,15.305000000000009,14.948940622849998,-0.0178985705,USD,-0.0178985705,USD,8359177.315,USD,3262434.295,USD,-3474782.655,USD,8248223.385,USD,0.5195765375393431,1.22441004979261,93066990.953762,USD,0,USD,1.1034298,Non-energy minerals,,No rating,Taiwan,2025-12-31,Steel,2.287581699346403
