Date,AAVE-USD,ADA-USD,ALGO-USD,APT-USD,AR-USD,ARB-USD,ATOM-USD,AVAX-USD,BCH-USD,BNB-USD,BONK-USD,BTC-USD,DOGE-USD,DOT-USD,EGLD-USD,ETC-USD,ETH-USD,FET-USD,FIL-USD,FTM-USD,GRT-USD,HBAR-USD,ICP-USD,IMX-USD,INJ-USD,LDO-USD,LINK-USD,LTC-USD,MKR-USD,NEAR-USD,OP-USD,PEPE-USD,QNT-USD,RNDR-USD,RUNE-USD,SEI-USD,SHIB-USD,SOL-USD,STX-USD,SUI-USD,TAO-USD,TIA-USD,TON-USD,TRX-USD,UNI-USD,VET-USD,WIF-USD,XLM-USD,XMR-USD,XRP-USD,AKT-USD,APE-USD,AXS-USD,BAT-USD,BLUR-USD,CELO-USD,CFX-USD,CHZ-USD,CKB-USD,COMP-USD,CRV-USD,DASH-USD,DYDX-USD,ENJ-USD,EOS-USD,FLOKI-USD,FLOW-USD,FXS-USD,GALA-USD,GMX-USD,GNO-USD,JASMY-USD,JTO-USD,JUP-USD,KAVA-USD,KSM-USD,MANA-USD,MATIC-USD,MINA-USD,ORDI-USD,PENDLE-USD,PYTH-USD,ROSE-USD,RPL-USD,SAND-USD,SNX-USD,THETA-USD,WLD-USD,XTZ-USD,YFI-USD,ZEC-USD
2021-04-05,397.924560546875,1.2143000364303589,1.4050110578536987,,27.4770565032959,0.0017679999582469463,21.462709426879883,31.246593475341797,648.5609741210938,367.7724914550781,,59057.87890625,0.059696000069379807,45.7972297668457,166.7383270263672,16.127941131591797,2107.88720703125,0.6821510195732117,176.7781982421875,0.4791480004787445,2.173732042312622,0.31822100281715393,,,13.332016944885254,1.300191044807434,32.39665603637695,221.0690460205078,2328.5859375,6.1280670166015625,,,39.01522445678711,1.3941930532455444,9.7686767578125,,0.0,22.984283447265625,2.5833001136779785,,,,20.368438720703125,0.13672499358654022,0.0010239999974146485,0.10255999863147736,,0.5363669991493225,263.92266845703125,0.9204729795455933,6.574587821960449,,9.256800651550293,1.2856930494308472,,4.641186237335205,1.2212740182876587,0.4616680145263672,0.03492100164294243,9.999999974752427e-07,3.3183789253234863,273.76861572265625,,2.4742350578308105,6.707276821136475,,38.553768157958984,9.138336181640625,0.022866999730467796,,170.6317596435547,1.6809639930725098,,0.08496499806642532,6.942832946777344,462.1543273925781,1.0121259689331055,0.37003299593925476,,,,,0.21142199635505676,15.300201416015625,0.6761279702186584,20.698152542114258,11.607787132263184,,6.041006088256836,38447.6015625,196.6537322998047
2021-04-06,383.98992919921875,1.2553540468215942,1.4008500576019287,,29.759294509887695,0.0017470000311732292,21.77348518371582,31.554494857788086,667.7485961914062,403.59075927734375,,58192.359375,0.06445799767971039,43.430198669433594,192.16619873046875,17.86155128479004,2118.37890625,0.6692479848861694,166.02606201171875,0.4584299921989441,2.188261032104492,0.3275879919528961,,,14.271889686584473,1.1569069623947144,34.79787826538086,237.66490173339844,2295.118408203125,6.7911529541015625,,,38.351741790771484,1.3822749853134155,9.911519050598145,,0.0,24.95714569091797,1.98089599609375,,,,20.429494857788086,0.12437400221824646,0.0011099999537691474,0.11270000040531158,,0.542743980884552,271.0430908203125,1.0962660312652588,7.197443962097168,0.26342201232910156,7.775959014892578,1.3369309902191162,,4.573029041290283,1.1416950225830078,0.4481959939002991,0.03256699815392494,9.999999974752427e-07,3.1714088916778564,276.6620788574219,,2.329422950744629,6.664241790771484,,36.26791763305664,8.375337600708008,0.025689000263810158,,169.68031311035156,1.661895990371704,,0.08816500008106232,7.461729049682617,440.76519775390625,0.9644460082054138,0.374565988779068,,,,,0.18954600393772125,16.573450088500977,0.6405209898948669,22.088953018188477,11.731759071350098,,6.205634117126465,41485.4921875,191.09420776367188
2021-04-07,350.9958190917969,1.1751489639282227,1.3038699626922607,,29.058578491210938,0.0016850000247359276,19.58304786682129,29.476511001586914,618.5975341796875,374.6588134765625,,56048.9375,0.05902799963951111,39.59401321411133,173.2487335205078,19.191848754882812,1971.0772705078125,0.5991420149803162,156.49478149414062,0.4142000079154968,2.0395541191101074,0.2989619970321655,,,13.253763198852539,1.1629929542541504,31.17518424987793,219.42367553710938,2103.1826171875,6.119810104370117,,,37.36795425415039,1.3555409908294678,9.133541107177734,,0.0,26.47808074951172,1.7279720306396484,,,,15.106609344482422,0.11028199642896652,0.001462999964132905,0.1057099997997284,,0.47328001260757446,257.74285888671875,0.917576014995575,7.409512042999268,0.244050994515419,7.376083850860596,1.18790602684021,,4.249533176422119,1.131132960319519,0.4519599974155426,0.028620999306440353,9.999999974752427e-07,2.8908119201660156,253.8490447998047,,2.799999952316284,5.878461837768555,,35.074310302734375,7.795351982116699,0.02528499998152256,,159.92808532714844,1.5954090356826782,,0.06673900038003922,6.512338161468506,427.3724670410156,0.9325609803199768,0.33720800280570984,,,,,0.17692500352859497,15.387909889221191,0.6331449747085571,19.375062942504883,12.312067031860352,,5.529050827026367,43871.27734375,171.33880615234375
2021-04-08,377.9311828613281,1.2194360494613647,1.3491289615631104,,32.387107849121094,0.001749000046402216,20.519001007080078,30.764034271240234,647.5640869140625,418.03839111328125,,58323.953125,0.06146400049328804,41.36595153808594,180.4528350830078,19.503684997558594,2088.57373046875,0.6090840101242065,154.59666442871094,0.4368480145931244,2.1564059257507324,0.32738399505615234,,,14.779650688171387,1.2423559427261353,32.74489974975586,227.00302124023438,2201.718505859375,6.689258098602295,,,41.05070877075195,1.575950026512146,10.213665008544922,,0.0,27.033987045288086,1.9069520235061646,,,,20.544950485229492,0.12307000160217285,0.0019829999655485153,0.11724899709224701,,0.506816029548645,269.9962463378906,1.0527559518814087,6.524558067321777,0.2417690008878708,7.757730007171631,1.2936979532241821,,4.45196008682251,1.2747550010681152,0.48934200406074524,0.031082000583410263,9.999999974752427e-07,3.0729479789733887,267.1763610839844,,3.2684109210968018,6.439490795135498,,35.40008544921875,8.097919464111328,0.025111999362707138,,167.05218505859375,1.5357530117034912,,0.06542299687862396,7.224201202392578,461.0657958984375,0.9898149967193604,0.3563059866428375,,,,,0.19200000166893005,16.275182723999023,0.6850460171699524,19.932222366333008,12.899486541748047,,6.1492719650268555,47230.328125,181.4195556640625
2021-04-09,359.48358154296875,1.2035399675369263,1.3942450284957886,,30.144407272338867,0.0017470000311732292,21.399585723876953,31.532609939575195,635.7067260742188,453.178466796875,,58245.00390625,0.06168400123715401,40.849308013916016,194.30374145507812,18.76987075805664,2072.10888671875,0.683131992816925,172.51986694335938,0.4519209861755371,2.1395769119262695,0.33825498819351196,,,15.23658561706543,1.1931899785995483,31.63246726989746,221.86236572265625,2224.545654296875,6.421404838562012,,,40.10468673706055,1.8653889894485474,11.91722297668457,,0.0,27.778274536132812,1.9762500524520874,,,,21.431703567504883,0.11593399941921234,0.0021359999664127827,0.12656299769878387,,0.4863870143890381,273.8375549316406,1.0208369493484497,6.465333938598633,0.229994997382164,7.975791931152344,1.5335990190505981,,4.377373218536377,1.2674180269241333,0.4822019934654236,0.030323000624775887,9.999999974752427e-07,2.9843640327453613,264.9345397949219,,3.4542250633239746,6.214583873748779,,35.2808837890625,8.314571380615234,0.0273049995303154,,170.29055786132812,1.5623619556427002,,0.07125400006771088,7.016500949859619,452.0316467285156,1.0332939624786377,0.36760300397872925,,,,,0.1918189972639084,16.767616271972656,0.6988009810447693,19.436256408691406,12.654070854187012,,6.744160175323486,45825.62890625,194.91156005859375
2021-04-10,367.2633361816406,1.2187579870224,1.3934069871902466,,29.175275802612305,0.0017940000398084521,21.055864334106445,31.803802490234375,673.9575805664062,472.5603332519531,,59793.234375,0.06384500116109848,41.62615203857422,209.291259765625,20.39337921142578,2135.942138671875,0.6562380194664001,174.75537109375,0.4396210014820099,2.205185890197754,0.3299410045146942,,,13.615992546081543,1.4192399978637695,31.899261474609375,255.6201934814453,2231.514404296875,6.506838798522949,,,39.690391540527344,1.7544729709625244,11.912803649902344,,0.0,26.84140396118164,1.9098960161209106,,,,19.950258255004883,0.12598299980163574,0.002113000024110079,0.14262600243091583,,0.5618289709091187,292.8656921386719,1.3744159936904907,6.595598220825195,0.2098570019006729,7.572542190551758,1.4725730419158936,,4.364910125732422,1.2356079816818237,0.46066799759864807,0.02924400009214878,9.999999974752427e-07,2.9612131118774414,282.8511962890625,,3.228209972381592,6.611337184906006,,35.02204895019531,8.005461692810059,0.026830000802874565,,174.5152130126953,1.5141160488128662,,0.0696529969573021,7.009902000427246,448.4386901855469,1.0136890411376953,0.35847100615501404,,,,,0.18513000011444092,17.198131561279297,0.664726972579956,19.01768684387207,12.384337425231934,,6.5576300621032715,44656.44140625,205.44461059570312
2021-04-11,373.3787536621094,1.2667349576950073,1.5204880237579346,,27.86250114440918,0.0018060000147670507,23.345903396606445,31.60232162475586,696.6084594726562,525.3855590820312,,60204.96484375,0.07464899867773056,41.423397064208984,239.23619079589844,20.43368148803711,2157.656982421875,0.6327800154685974,179.18431091308594,0.4589880108833313,2.2278099060058594,0.34918099641799927,,,13.585306167602539,1.2943049669265747,33.91918182373047,253.63446044921875,2277.48974609375,6.77654504776001,,,38.86545181274414,1.7309869527816772,11.059698104858398,,0.0,27.9318904876709,1.880020022392273,,,,19.461652755737305,0.12235300242900848,0.00108299998100847,0.13974200189113617,,0.5888100266456604,327.3172607421875,1.3605300188064575,7.166844844818115,0.22351300716400146,7.234373092651367,1.4446829557418823,,4.6948652267456055,1.207738995552063,0.4661639928817749,0.032979998737573624,9.999999974752427e-07,3.134161949157715,287.8891906738281,,3.1307690143585205,6.744064807891846,,33.844757080078125,7.902379989624023,0.026580000296235085,,179.49818420410156,1.544780969619751,,0.06777100265026093,7.00914192199707,439.3730773925781,1.0805339813232422,0.37053200602531433,,,,,0.18675699830055237,18.509836196899414,0.6433330178260803,19.041624069213867,12.226853370666504,,6.470476150512695,45127.296875,223.079833984375
2021-04-12,396.5361328125,1.3161269426345825,1.4823789596557617,,26.696735382080078,0.0017979999538511038,22.046228408813477,33.883968353271484,674.7862548828125,598.72265625,,59893.453125,0.07076700031757355,40.49749755859375,225.55191040039062,19.53263282775879,2139.353271484375,0.6088759899139404,168.17828369140625,0.4280399978160858,2.211029052734375,0.35692399740219116,,,14.58253002166748,1.120985984802246,33.10542678833008,244.49436950683594,2657.88330078125,6.73134183883667,,,37.95375061035156,1.6482199430465698,12.099093437194824,,0.0,28.512123107910156,2.0827300548553467,,,,18.44408416748047,0.12904800474643707,0.00133500003721565,0.12892299890518188,,0.5905920267105103,315.5390625,1.4677350521087646,7.207155227661133,0.23466800153255463,7.652966022491455,1.4220550060272217,,4.820382118225098,1.201907992362976,0.5686079859733582,0.02971700020134449,9.999999974752427e-07,3.0342819690704346,280.6748046875,,3.0009241104125977,6.482460975646973,,38.10129928588867,7.346437931060791,0.02564699947834015,,175.84486389160156,1.448246955871582,,0.06416100263595581,6.595976829528809,422.4045715332031,1.1309139728546143,0.35804399847984314,,,,,0.18082299828529358,18.13337516784668,0.6855090260505676,19.6001033782959,12.123401641845703,,6.285299777984619,43066.56640625,220.87203979492188
2021-04-13,398.2839050292969,1.4117859601974487,1.5152360200881958,,26.661418914794922,0.0019049999536946416,23.865888595581055,33.67353057861328,746.8653564453125,549.5865478515625,,63503.45703125,0.09344500303268433,42.94791030883789,212.38404846191406,21.223060607910156,2299.187744140625,0.6075739860534668,163.9652099609375,0.4182099997997284,2.3794538974761963,0.4088729918003082,,,13.782363891601562,1.189247965812683,35.456634521484375,266.9814758300781,2574.43505859375,6.504313945770264,,,43.34962463378906,1.51186203956604,13.266284942626953,,0.0,27.4355525970459,2.2997090816497803,,,,18.145830154418945,0.14629800617694855,0.0011370000429451466,0.15296199917793274,,0.6553559899330139,327.2176513671875,1.7940009832382202,6.9740447998046875,0.21283499896526337,8.018774032592773,1.499680995941162,,4.589191913604736,1.125128984451294,0.5180000066757202,0.029165999963879585,1.9999999949504854e-06,3.1149260997772217,293.0616760253906,,3.072856903076172,7.379455089569092,,38.45425796508789,7.2404351234436035,0.025387000292539597,,183.5272674560547,1.2785329818725586,,0.05653199926018715,6.486282825469971,432.00140380859375,1.1191749572753906,0.42207399010658264,,,,,0.18381699919700623,20.147855758666992,0.6682919859886169,19.10031509399414,12.402107238769531,,6.543838977813721,44788.7890625,226.0265350341797
2021-04-14,430.4162292480469,1.4554200172424316,1.4661200046539307,,24.85676383972168,0.0018919999711215496,27.101285934448242,38.462867736816406,818.7034301757812,549.5918579101562,,63109.6953125,0.12151700258255005,42.64084243774414,226.6510009765625,21.97785186767578,2435.10498046875,0.5989559888839722,168.1937713623047,0.4182240068912506,2.513047933578491,0.3762960135936737,,,13.34013557434082,0.9843310117721558,41.423709869384766,279.7484130859375,2682.36962890625,6.361784934997559,,,43.90922164916992,1.530845046043396,15.333929061889648,,0.0,26.47511100769043,2.703460931777954,,,,17.151960372924805,0.1406940072774887,0.0006489999941550195,0.16874299943447113,,0.6367350220680237,321.6600646972656,1.8392360210418701,7.190130233764648,0.20900799334049225,7.690556049346924,1.466433048248291,,4.3668341636657715,1.1436100006103516,0.5058199763298035,0.030169999226927757,9.999999974752427e-07,3.1749019622802734,305.8320617675781,,2.9172909259796143,7.681999206542969,,37.147682189941406,6.969882965087891,0.026357000693678856,,187.9722900390625,1.1573270559310913,,0.06464999914169312,6.5241379737854,456.00201416015625,1.095350980758667,0.41468000411987305,,,,,0.1950169950723648,19.550378799438477,0.6466699838638306,20.04909896850586,12.202522277832031,,6.58460807800293,47330.96484375,236.61843872070312
